2024-07-23 19:31:42 {'yaw': 3599, 'pitch': 16, 'roll': 28, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-23 19:31:43 {'x_pos': -7, 'y_pos': 3, 't_pos': -5076, 'x_vel': -1, 'y_vel': -1, 't_vel': -3903}
2024-07-23 19:31:43 {'yaw': 3599, 'pitch': 16, 'roll': 28, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-23 19:31:43 {'x_pos': -7, 'y_pos': 3, 't_pos': -5076, 'x_vel': -1, 'y_vel': -1, 't_vel': -3903}
2024-07-23 19:31:43 {'yaw': 3599, 'pitch': 16, 'roll': 28, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-23 19:31:43 {'x_pos': -7, 'y_pos': 3, 't_pos': -5121, 'x_vel': 0, 'y_vel': 0, 't_vel': -3858}
2024-07-23 19:31:43 {'yaw': 3599, 'pitch': 16, 'roll': 28, 'x_acceleration': -4, 'y_acceleration': -2, 'z_acceleration': -4}
2024-07-23 19:31:44 {'x_pos': -7, 'y_pos': 3, 't_pos': -5121, 'x_vel': 0, 'y_vel': 0, 't_vel': -3858}
2024-07-23 19:31:44 {'yaw': 3588, 'pitch': 13, 'roll': 29, 'x_acceleration': 0, 'y_acceleration': -2, 'z_acceleration': -1}
2024-07-23 19:31:44 {'x_pos': -7, 'y_pos': 3, 't_pos': -5121, 'x_vel': 0, 'y_vel': 0, 't_vel': -3858}
2024-07-23 19:31:44 {'yaw': 3586, 'pitch': 11, 'roll': 30, 'x_acceleration': 0, 'y_acceleration': 2, 'z_acceleration': 0}
2024-07-23 19:31:44 {'x_pos': -7, 'y_pos': 3, 't_pos': -5121, 'x_vel': 0, 'y_vel': 0, 't_vel': -3858}
2024-07-23 19:31:44 {'yaw': 3593, 'pitch': 11, 'roll': 30, 'x_acceleration': 0, 'y_acceleration': -3, 'z_acceleration': -6}
2024-07-23 19:31:44 {'x_pos': -7, 'y_pos': 3, 't_pos': -5121, 'x_vel': 0, 'y_vel': 0, 't_vel': -3858}
2024-07-23 19:31:44 {'yaw': 3597, 'pitch': 13, 'roll': 30, 'x_acceleration': 4, 'y_acceleration': 2, 'z_acceleration': -3}
2024-07-23 19:31:45 {'x_pos': -7, 'y_pos': 3, 't_pos': -5121, 'x_vel': 0, 'y_vel': 0, 't_vel': -3858}
2024-07-23 19:31:45 {'yaw': 3593, 'pitch': 11, 'roll': 30, 'x_acceleration': -6, 'y_acceleration': -1, 'z_acceleration': -5}
2024-07-23 19:31:45 {'x_pos': -7, 'y_pos': 3, 't_pos': -5121, 'x_vel': 0, 'y_vel': 0, 't_vel': -3858}
2024-07-23 19:31:45 {'yaw': 3590, 'pitch': 13, 'roll': 30, 'x_acceleration': 1, 'y_acceleration': -3, 'z_acceleration': -11}
2024-07-23 19:31:45 {'x_pos': -7, 'y_pos': 3, 't_pos': -5121, 'x_vel': 0, 'y_vel': 0, 't_vel': -3858}
2024-07-23 19:31:45 {'yaw': 3593, 'pitch': 12, 'roll': 30, 'x_acceleration': 3, 'y_acceleration': -2, 'z_acceleration': -14}
2024-07-23 19:31:46 {'x_pos': -7, 'y_pos': 3, 't_pos': -5121, 'x_vel': 0, 'y_vel': 0, 't_vel': -3858}
2024-07-23 19:31:46 {'yaw': 3598, 'pitch': 12, 'roll': 30, 'x_acceleration': 4, 'y_acceleration': -3, 'z_acceleration': -6}
2024-07-23 19:31:46 {'x_pos': 0, 'y_pos': 496, 't_pos': 9066, 'x_vel': -3, 'y_vel': 230, 't_vel': 18393}
2024-07-23 19:31:46 {'yaw': 3594, 'pitch': 13, 'roll': 30, 'x_acceleration': -1, 'y_acceleration': -3, 'z_acceleration': -3}
2024-07-23 19:31:46 {'x_pos': 0, 'y_pos': 496, 't_pos': 9066, 'x_vel': -3, 'y_vel': 230, 't_vel': 18393}
2024-07-23 19:31:46 {'yaw': 3598, 'pitch': 13, 'roll': 30, 'x_acceleration': 0, 'y_acceleration': -1, 'z_acceleration': -2}
2024-07-23 19:31:47 {'x_pos': 0, 'y_pos': 496, 't_pos': 9066, 'x_vel': -3, 'y_vel': 230, 't_vel': 18393}
2024-07-23 19:31:47 {'yaw': 3597, 'pitch': 13, 'roll': 30, 'x_acceleration': 1, 'y_acceleration': -2, 'z_acceleration': -6}
2024-07-23 19:31:47 {'x_pos': 0, 'y_pos': 496, 't_pos': 9066, 'x_vel': -3, 'y_vel': 230, 't_vel': 18393}
2024-07-23 19:31:47 {'yaw': 3585, 'pitch': 13, 'roll': 30, 'x_acceleration': -2, 'y_acceleration': -2, 'z_acceleration': -9}
2024-07-23 19:31:47 {'x_pos': 0, 'y_pos': 496, 't_pos': 9066, 'x_vel': -3, 'y_vel': 230, 't_vel': 18393}
2024-07-23 19:31:47 {'yaw': 3589, 'pitch': 13, 'roll': 30, 'x_acceleration': -4, 'y_acceleration': -2, 'z_acceleration': -1}
2024-07-23 19:31:47 {'x_pos': 0, 'y_pos': 496, 't_pos': 9066, 'x_vel': -3, 'y_vel': 230, 't_vel': 18393}
2024-07-23 19:31:47 {'yaw': 3593, 'pitch': 12, 'roll': 31, 'x_acceleration': 1, 'y_acceleration': -2, 'z_acceleration': -5}
2024-07-23 19:31:48 {'x_pos': 0, 'y_pos': 496, 't_pos': 9066, 'x_vel': -3, 'y_vel': 230, 't_vel': 18393}
2024-07-23 19:31:48 {'yaw': 3598, 'pitch': 11, 'roll': 30, 'x_acceleration': 0, 'y_acceleration': -4, 'z_acceleration': -7}
2024-07-23 19:31:48 {'x_pos': 0, 'y_pos': 996, 't_pos': 23444, 'x_vel': 1, 'y_vel': 230, 't_vel': 32752}
2024-07-23 19:31:48 {'yaw': 3590, 'pitch': 11, 'roll': 30, 'x_acceleration': 1, 'y_acceleration': 7, 'z_acceleration': -2}
2024-07-23 19:31:48 {'x_pos': 0, 'y_pos': 996, 't_pos': 23444, 'x_vel': 1, 'y_vel': 230, 't_vel': 32752}
2024-07-23 19:31:48 {'yaw': 3581, 'pitch': 12, 'roll': 30, 'x_acceleration': -1, 'y_acceleration': 4, 'z_acceleration': 0}
