2024-07-16 17:44:03 {'yaw': 3593, 'pitch': 15, 'roll': 32, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -2}
2024-07-16 17:44:03 {'x_pos': 3, 'y_pos': 566, 't_pos': -8938, 'x_vel': 7, 'y_vel': 267, 't_vel': 182}
2024-07-16 17:44:03 {'yaw': 3595, 'pitch': 17, 'roll': 31, 'x_acceleration': 2, 'y_acceleration': 9, 'z_acceleration': 4}
2024-07-16 17:44:03 {'x_pos': 1, 'y_pos': 593, 't_pos': -19107, 'x_vel': 7, 'y_vel': 267, 't_vel': -9988}
2024-07-16 17:44:03 {'yaw': 3595, 'pitch': 15, 'roll': 31, 'x_acceleration': 1, 'y_acceleration': 0, 'z_acceleration': -9}
2024-07-16 17:44:03 {'x_pos': 0, 'y_pos': 621, 't_pos': -29366, 'x_vel': 7, 'y_vel': 267, 't_vel': -20248}
2024-07-16 17:44:03 {'yaw': 3595, 'pitch': 15, 'roll': 31, 'x_acceleration': 1, 'y_acceleration': -3, 'z_acceleration': -20}
2024-07-16 17:44:03 {'x_pos': -1, 'y_pos': 648, 't_pos': 26271, 'x_vel': 7, 'y_vel': 267, 't_vel': -30148}
2024-07-16 17:44:03 {'yaw': 3594, 'pitch': 15, 'roll': 32, 'x_acceleration': 0, 'y_acceleration': -1, 'z_acceleration': -13}
2024-07-16 17:44:03 {'x_pos': -1, 'y_pos': 675, 't_pos': 16327, 'x_vel': -6, 'y_vel': 273, 't_vel': 25442}
2024-07-16 17:44:03 {'yaw': 3594, 'pitch': 15, 'roll': 31, 'x_acceleration': -4, 'y_acceleration': -1, 'z_acceleration': 6}
2024-07-16 17:44:03 {'x_pos': -1, 'y_pos': 702, 't_pos': 6384, 'x_vel': -6, 'y_vel': 273, 't_vel': 15497}
2024-07-16 17:44:03 {'yaw': 3593, 'pitch': 16, 'roll': 31, 'x_acceleration': 1, 'y_acceleration': 2, 'z_acceleration': 6}
2024-07-16 17:44:03 {'x_pos': 0, 'y_pos': 730, 't_pos': -3695, 'x_vel': -6, 'y_vel': 273, 't_vel': 5417}
2024-07-16 17:44:03 {'yaw': 3593, 'pitch': 15, 'roll': 31, 'x_acceleration': -2, 'y_acceleration': 2, 'z_acceleration': -7}
2024-07-16 17:44:03 {'x_pos': -1, 'y_pos': 758, 't_pos': -13909, 'x_vel': -6, 'y_vel': 273, 't_vel': -4798}
2024-07-16 17:44:03 {'yaw': 3593, 'pitch': 16, 'roll': 30, 'x_acceleration': 0, 'y_acceleration': 7, 'z_acceleration': 0}
2024-07-16 17:44:04 {'x_pos': -1, 'y_pos': 786, 't_pos': -23808, 'x_vel': -6, 'y_vel': 273, 't_vel': -14698}
2024-07-16 17:44:04 {'yaw': 3593, 'pitch': 15, 'roll': 31, 'x_acceleration': 2, 'y_acceleration': 0, 'z_acceleration': -16}
2024-07-16 17:44:04 {'x_pos': -1, 'y_pos': 812, 't_pos': 32054, 'x_vel': -1, 'y_vel': 273, 't_vel': -24372}
2024-07-16 17:44:04 {'yaw': 3593, 'pitch': 15, 'roll': 31, 'x_acceleration': 4, 'y_acceleration': -1, 'z_acceleration': -9}
2024-07-16 17:44:04 {'x_pos': -1, 'y_pos': 839, 't_pos': 22335, 'x_vel': -1, 'y_vel': 273, 't_vel': 31444}
2024-07-16 17:44:04 {'yaw': 3594, 'pitch': 15, 'roll': 31, 'x_acceleration': 1, 'y_acceleration': 1, 'z_acceleration': 4}
2024-07-16 17:44:04 {'x_pos': -1, 'y_pos': 867, 't_pos': 12391, 'x_vel': -1, 'y_vel': 273, 't_vel': 21499}
2024-07-16 17:44:04 {'yaw': 3596, 'pitch': 14, 'roll': 31, 'x_acceleration': -2, 'y_acceleration': 0, 'z_acceleration': 5}
2024-07-16 17:44:04 {'x_pos': 0, 'y_pos': 894, 't_pos': 2222, 'x_vel': -1, 'y_vel': 273, 't_vel': 11329}
2024-07-16 17:44:04 {'yaw': 3596, 'pitch': 14, 'roll': 31, 'x_acceleration': -1, 'y_acceleration': 4, 'z_acceleration': 4}
2024-07-16 17:44:04 {'x_pos': 1, 'y_pos': 920, 't_pos': -7408, 'x_vel': -1, 'y_vel': 273, 't_vel': 1699}
2024-07-16 17:44:04 {'yaw': 0, 'pitch': 13, 'roll': 30, 'x_acceleration': -3, 'y_acceleration': 2, 'z_acceleration': -1}
2024-07-16 17:44:04 {'x_pos': 3, 'y_pos': 947, 't_pos': -17397, 'x_vel': 7, 'y_vel': 265, 't_vel': -8291}
2024-07-16 17:44:04 {'yaw': 3595, 'pitch': 15, 'roll': 30, 'x_acceleration': -2, 'y_acceleration': 2, 'z_acceleration': -10}
2024-07-16 17:44:04 {'x_pos': 4, 'y_pos': 974, 't_pos': -27161, 'x_vel': 7, 'y_vel': 265, 't_vel': -18056}
2024-07-16 17:44:04 {'yaw': 3582, 'pitch': 13, 'roll': 31, 'x_acceleration': 4, 'y_acceleration': -5, 'z_acceleration': -4}
2024-07-16 17:44:04 {'x_pos': 3, 'y_pos': 1001, 't_pos': 28701, 'x_vel': 7, 'y_vel': 265, 't_vel': -27731}
2024-07-16 17:44:04 {'yaw': 3578, 'pitch': 15, 'roll': 31, 'x_acceleration': -1, 'y_acceleration': -2, 'z_acceleration': 1}
2024-07-16 17:44:04 {'x_pos': 2, 'y_pos': 1027, 't_pos': 18892, 'x_vel': 7, 'y_vel': 265, 't_vel': 27995}
2024-07-16 17:44:04 {'yaw': 3576, 'pitch': 14, 'roll': 31, 'x_acceleration': -2, 'y_acceleration': -2, 'z_acceleration': -1}
