2024-07-23 17:20:59 {'yaw': 3598, 'pitch': 13, 'roll': 30, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-23 17:20:59 {'x_pos': 1, 'y_pos': 0, 't_pos': 1575, 'x_vel': 0, 'y_vel': -1, 't_vel': -315}
2024-07-23 17:20:59 {'yaw': 3598, 'pitch': 13, 'roll': 30, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-23 17:20:59 {'x_pos': 1, 'y_pos': 0, 't_pos': 1575, 'x_vel': 0, 'y_vel': -1, 't_vel': -315}
2024-07-23 17:20:59 {'yaw': 3598, 'pitch': 13, 'roll': 30, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-23 17:21:00 {'x_pos': 1, 'y_pos': 0, 't_pos': 1575, 'x_vel': 0, 'y_vel': -1, 't_vel': -315}
2024-07-23 17:21:00 {'yaw': 3598, 'pitch': 13, 'roll': 30, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-23 17:21:00 {'x_pos': 1, 'y_pos': 0, 't_pos': 1575, 'x_vel': 0, 'y_vel': -1, 't_vel': -315}
2024-07-23 17:21:00 {'yaw': 3598, 'pitch': 13, 'roll': 30, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-23 17:21:00 {'x_pos': 1, 'y_pos': 0, 't_pos': 1575, 'x_vel': 0, 'y_vel': -1, 't_vel': -315}
2024-07-23 17:21:00 {'yaw': 3598, 'pitch': 13, 'roll': 30, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-23 17:21:01 {'x_pos': 1, 'y_pos': 0, 't_pos': 1575, 'x_vel': 0, 'y_vel': -1, 't_vel': -315}
2024-07-23 17:21:01 {'yaw': 3598, 'pitch': 13, 'roll': 30, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-23 17:21:01 {'x_pos': 1, 'y_pos': 0, 't_pos': 1575, 'x_vel': 0, 'y_vel': -1, 't_vel': -315}
2024-07-23 17:21:01 {'yaw': 3598, 'pitch': 13, 'roll': 30, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-23 17:21:01 {'x_pos': 1, 'y_pos': 0, 't_pos': 1710, 'x_vel': 0, 'y_vel': 0, 't_vel': -225}
2024-07-23 17:21:01 {'yaw': 3598, 'pitch': 13, 'roll': 30, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-23 17:21:01 {'x_pos': 1, 'y_pos': 0, 't_pos': 1710, 'x_vel': 0, 'y_vel': 0, 't_vel': -225}
2024-07-23 17:21:01 {'yaw': 3598, 'pitch': 13, 'roll': 30, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-23 17:21:02 {'x_pos': 1, 'y_pos': 0, 't_pos': 1710, 'x_vel': 0, 'y_vel': 0, 't_vel': -225}
2024-07-23 17:21:02 {'yaw': 3598, 'pitch': 13, 'roll': 30, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-23 17:21:02 {'x_pos': 1, 'y_pos': 0, 't_pos': 1710, 'x_vel': 0, 'y_vel': 0, 't_vel': -225}
2024-07-23 17:21:02 {'yaw': 3598, 'pitch': 13, 'roll': 30, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-23 17:21:02 {'x_pos': 1, 'y_pos': 0, 't_pos': 1710, 'x_vel': 0, 'y_vel': 0, 't_vel': -225}
2024-07-23 17:21:02 {'yaw': 3598, 'pitch': 13, 'roll': 30, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-23 17:21:03 {'x_pos': 1, 'y_pos': 0, 't_pos': 1710, 'x_vel': 0, 'y_vel': 0, 't_vel': -225}
2024-07-23 17:21:03 {'yaw': 3598, 'pitch': 13, 'roll': 30, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-23 17:21:03 {'x_pos': 1, 'y_pos': 0, 't_pos': 1710, 'x_vel': 0, 'y_vel': 0, 't_vel': -225}
2024-07-23 17:21:03 {'yaw': 3598, 'pitch': 13, 'roll': 30, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-23 17:21:03 {'x_pos': 1, 'y_pos': 0, 't_pos': 1710, 'x_vel': 0, 'y_vel': 0, 't_vel': -225}
2024-07-23 17:21:03 {'yaw': 3598, 'pitch': 13, 'roll': 30, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-23 17:21:04 {'x_pos': 1, 'y_pos': 0, 't_pos': 1710, 'x_vel': 0, 'y_vel': 0, 't_vel': -225}
2024-07-23 17:21:04 {'yaw': 3598, 'pitch': 13, 'roll': 30, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-23 17:21:04 {'x_pos': 1, 'y_pos': 0, 't_pos': 1710, 'x_vel': 0, 'y_vel': 0, 't_vel': -225}
2024-07-23 17:21:04 {'yaw': 3598, 'pitch': 13, 'roll': 30, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-23 17:21:04 {'x_pos': 1, 'y_pos': 0, 't_pos': 1710, 'x_vel': 0, 'y_vel': 0, 't_vel': -225}
2024-07-23 17:21:04 {'yaw': 3598, 'pitch': 13, 'roll': 30, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-23 17:21:04 {'x_pos': 1, 'y_pos': 0, 't_pos': 1710, 'x_vel': 0, 'y_vel': 0, 't_vel': -225}
2024-07-23 17:21:05 {'yaw': 3598, 'pitch': 13, 'roll': 30, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-23 17:21:05 {'x_pos': 1, 'y_pos': 0, 't_pos': 1710, 'x_vel': 0, 'y_vel': 0, 't_vel': -225}
2024-07-23 17:21:05 {'yaw': 3598, 'pitch': 13, 'roll': 30, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-23 17:21:05 {'x_pos': 1, 'y_pos': 0, 't_pos': 1710, 'x_vel': 0, 'y_vel': 0, 't_vel': -225}
2024-07-23 17:21:05 {'yaw': 3598, 'pitch': 13, 'roll': 30, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-23 17:21:05 {'x_pos': 1, 'y_pos': 0, 't_pos': 1710, 'x_vel': 0, 'y_vel': 0, 't_vel': -225}
2024-07-23 17:21:05 {'yaw': 3598, 'pitch': 13, 'roll': 30, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-23 17:21:06 {'x_pos': 1, 'y_pos': 0, 't_pos': 1710, 'x_vel': 0, 'y_vel': 0, 't_vel': -225}
2024-07-23 17:21:06 {'yaw': 3598, 'pitch': 13, 'roll': 30, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-23 17:21:06 {'x_pos': 1, 'y_pos': 0, 't_pos': 1710, 'x_vel': 0, 'y_vel': 0, 't_vel': -225}
2024-07-23 17:21:06 {'yaw': 3598, 'pitch': 13, 'roll': 30, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-23 17:21:06 {'x_pos': 1, 'y_pos': 0, 't_pos': 1710, 'x_vel': 0, 'y_vel': 0, 't_vel': -225}
2024-07-23 17:21:06 {'yaw': 3598, 'pitch': 13, 'roll': 30, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-23 17:21:07 {'x_pos': 1, 'y_pos': 0, 't_pos': 1710, 'x_vel': 0, 'y_vel': 0, 't_vel': -225}
2024-07-23 17:21:07 {'yaw': 3598, 'pitch': 13, 'roll': 30, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-23 17:21:07 {'x_pos': 1, 'y_pos': 0, 't_pos': 1845, 'x_vel': 0, 'y_vel': 0, 't_vel': -225}
2024-07-23 17:21:07 {'yaw': 3598, 'pitch': 13, 'roll': 30, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-23 17:21:07 {'x_pos': 1, 'y_pos': 0, 't_pos': 1845, 'x_vel': 0, 'y_vel': 0, 't_vel': -225}
2024-07-23 17:21:07 {'yaw': 3598, 'pitch': 13, 'roll': 30, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
