2024-07-07 20:08:15 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 334, 'loadcell': 0}
2024-07-07 20:08:16 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 301, 'loadcell': 0}
2024-07-07 20:08:17 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 307, 'loadcell': 0}
2024-07-07 20:08:18 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 310, 'loadcell': 0}
2024-07-07 20:08:19 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 309, 'loadcell': 0}
2024-07-07 20:08:20 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 309, 'loadcell': 0}
2024-07-07 20:08:21 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 305, 'loadcell': 0}
2024-07-07 20:08:22 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 309, 'loadcell': 0}
2024-07-07 21:39:59 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 15}
2024-07-07 21:40:10 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 15}
2024-07-07 21:40:21 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 15}
2024-07-07 21:40:32 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 15}
2024-07-07 21:40:42 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 15}
2024-07-07 21:40:53 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 15}
2024-07-07 21:41:04 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 15}
2024-07-07 21:41:15 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 15}
2024-07-07 21:41:26 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 15}
2024-07-07 21:41:37 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 15}
2024-07-07 21:41:48 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 15}
2024-07-07 21:44:05 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 15}
2024-07-07 21:44:16 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 15}
2024-07-07 21:44:27 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 15}
2024-07-07 21:44:38 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 15}
2024-07-07 21:44:49 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 15}
2024-07-07 21:45:00 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 15}
