2024-07-03 17:46:12 {'S1': 6, 'S2': 6, 'V1': 0, 'V2': -23206}
2024-07-03 17:46:12 {'S1': 0, 'S2': 3, 'V1': 0, 'V2': 0}
2024-07-03 17:46:12 {'S1': 0, 'S2': 3, 'V1': 0, 'V2': 0}
2024-07-03 17:46:12 {'S1': 0, 'S2': 3, 'V1': 0, 'V2': 0}
2024-07-03 17:46:12 {'S1': 0, 'S2': 3, 'V1': 0, 'V2': 0}
2024-07-03 17:46:12 {'S1': 0, 'S2': 3, 'V1': 0, 'V2': 0}
2024-07-03 17:46:12 {'S1': 0, 'S2': 3, 'V1': 0, 'V2': 0}
2024-07-03 17:46:12 {'S1': 0, 'S2': 3, 'V1': 0, 'V2': 0}
2024-07-03 17:46:12 {'S1': 0, 'S2': 3, 'V1': 0, 'V2': 0}
2024-07-03 17:46:12 {'S1': 0, 'S2': 3, 'V1': 0, 'V2': 0}
2024-07-03 17:46:12 {'S1': 0, 'S2': 3, 'V1': 0, 'V2': 0}
2024-07-03 17:46:12 {'S1': 0, 'S2': 3, 'V1': 0, 'V2': 0}
2024-07-03 17:46:12 {'S1': 0, 'S2': 3, 'V1': 0, 'V2': 0}
2024-07-03 17:46:12 {'S1': 0, 'S2': 3, 'V1': 0, 'V2': 0}
2024-07-03 17:46:12 {'S1': 0, 'S2': 3, 'V1': 0, 'V2': 0}
2024-07-03 17:46:12 {'S1': 0, 'S2': 3, 'V1': 0, 'V2': 0}
2024-07-03 17:46:12 {'S1': 0, 'S2': 3, 'V1': 0, 'V2': 0}
2024-07-03 17:46:12 {'S1': 0, 'S2': 3, 'V1': 0, 'V2': 0}
2024-07-03 17:46:12 {'S1': 0, 'S2': 3, 'V1': 0, 'V2': 0}
